,id_match,formations,score,goals,goals_past,total_shots,shots_on_target,shots_off_target,blocked_shots,total_possession,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dribbles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,clearances,interceptions,corners,win,draw,lose,team_color,substitution_1,substitution_2,substitution_3,substitution_4,substitution_5
0,1,4-3-2-1,0.0 - 0.0,0,0,4,1,3,0,78.35051546,76,55,72.36842105,1,10,0,0,0,0,0,0,0,0,0,0,1,19,0,0,1,0,[     170.45      191.73       193.4],0,0,0,0,0
1,1,3-5-1-1,0.0 - 0.0,0,0,1,1,0,0,21.64948454,21,12,57.14285714,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,[     35.936      42.934      120.17],0,0,0,0,0
